reseller_id,onboarding_date,city_tier,total_gmv,orders_last_30_days,avg_order_value,category_focus,social_shares,buyer_network_size,return_rate,days_since_last_sale,completed_onboarding_training,engagement_score,monetization_score,churn_risk_score,reseller_segment_fixed
1,1/21/2024,Tier3,1919,0,670,Fashion,1,5,0.09,219,FALSE,0,45,72,Low-Engagement Reseller
2,8/6/2023,Tier3,15208,0,385,Beauty,0,0,0.07,160,TRUE,40,48,61,Ghost Reseller
3,8/4/2024,Tier2,3586,2,529,Fashion,62,16,0.05,9,FALSE,19,42,29,Social Catalyst
4,5/29/2024,Tier3,7347,1,425,Home,33,12,0.14,27,FALSE,10,40,34,Niche Specialist
5,1/13/2023,Tier3,2536,2,564,Fashion,112,29,0.11,23,FALSE,34,41,31,Social Catalyst
6,12/20/2023,Tier3,4147,2,458,Fashion,36,11,0.05,5,FALSE,11,40,28,Low-Engagement Reseller
7,5/15/2023,Tier4+,37724,1,394,Home,36,9,0.15,17,FALSE,11,69,32,Niche Specialist
8,3/17/2024,Tier3,2419,1,431,Mixed,50,15,0.07,5,FALSE,15,37,29,Low-Engagement Reseller
9,12/8/2023,Tier3,5934,1,426,Fashion,51,18,0.1,19,FALSE,15,40,32,Social Catalyst
10,10/21/2023,Tier3,18964,0,708,Fashion,2,3,0.08,128,FALSE,1,64,55,Ghost Reseller
11,6/17/2024,Tier4+,3683,0,708,Home,4,6,0.13,62,TRUE,41,48,42,Niche Specialist
12,3/26/2023,Tier4+,8157,0,363,Fashion,2,3,0.07,110,FALSE,1,40,51,Ghost Reseller
13,7/15/2023,Tier4+,2216,2,416,Home,84,29,0.09,18,TRUE,65,36,30,Niche Specialist
14,8/17/2024,Tier3,2336,2,512,Home,172,50,0.11,23,FALSE,52,39,31,Niche Specialist
15,1/19/2023,Tier3,6351,2,438,Home,33,13,0.13,23,FALSE,10,40,31,Niche Specialist
16,12/20/2024,Tier4+,4315,1,443,Beauty,160,52,0.09,13,TRUE,88,39,31,Niche Specialist
17,4/5/2024,Tier3,462,0,664,Fashion,2,0,0.09,154,TRUE,41,44,60,Low-Engagement Reseller
18,4/14/2024,Tier3,10476,0,759,Fashion,1,0,0.12,200,FALSE,0,57,68,Ghost Reseller
19,11/9/2023,Tier3,1562,0,586,Beauty,4,0,0.15,353,FALSE,1,41,98,Low-Engagement Reseller
20,1/20/2023,Tier3,1556,2,700,Fashion,135,37,0.1,2,FALSE,41,46,27,Social Catalyst
21,2/28/2024,Tier2,6496,3,494,Fashion,141,47,0.09,11,FALSE,42,43,28,Social Catalyst
22,5/16/2023,Tier4+,7731,0,317,Fashion,2,4,0.06,263,TRUE,41,38,80,Ghost Reseller
